Date,Withdrawal_Amount
1/1/2022,12639.73107
1/2/2022,9463.829318
1/3/2022,3467.537929
1/4/2022,3015.699487
1/5/2022,9353.366534
1/6/2022,6758.92182
1/7/2022,1837.69524
1/8/2022,4691.355288
1/9/2022,2721.645063
1/10/2022,8014.884438
1/11/2022,6383.519821
1/12/2022,5768.265684
1/13/2022,8999.300321
1/14/2022,8521.819252
1/15/2022,13816.8144
1/16/2022,4786.6795
1/17/2022,10104.49413
1/18/2022,2429.745843
1/19/2022,2650.97938
1/20/2022,4920.726031
1/21/2022,8154.450443
1/22/2022,6951.828091
1/23/2022,12387.49537
1/24/2022,2697.040631
1/25/2022,8922.639799
1/26/2022,9614.7069
1/27/2022,6421.28859
1/28/2022,2114.824384
1/29/2022,4912.268341
1/30/2022,5130.717721
1/31/2022,8699.001429
2/1/2022,6368.910302
2/2/2022,8697.832179
2/3/2022,4887.2707
2/4/2022,7256.977822
2/5/2022,11791.14767
2/6/2022,3209.931006
2/7/2022,3435.139877
2/8/2022,3668.402494
2/9/2022,4877.947827
2/10/2022,9719.99976
2/11/2022,6281.615174
2/12/2022,5930.05192
2/13/2022,9583.137948
2/14/2022,8264.100244
2/15/2022,6777.164787
2/16/2022,2252.982844
2/17/2022,9791.180051
2/18/2022,7695.677881
2/19/2022,8842.031259
2/20/2022,11510.94759
2/21/2022,5400.87159
2/22/2022,2889.627508
2/23/2022,6636.97729
2/24/2022,8203.58599
2/25/2022,9437.532925
2/26/2022,5677.320759
2/27/2022,3769.126294
2/28/2022,2999.782158
3/1/2022,13190.64913
3/2/2022,6799.982002
3/3/2022,7496.159967
3/4/2022,2404.767312
3/5/2022,8753.32138
3/6/2022,7352.21412
3/7/2022,6892.779702
3/8/2022,2274.28341
3/9/2022,3119.710369
3/10/2022,6648.8778
3/11/2022,8436.961799
3/12/2022,3289.100129
3/13/2022,3907.723706
3/14/2022,10035.09206
3/15/2022,11605.88905
3/16/2022,6361.962199
3/17/2022,6570.627839
3/18/2022,9256.300194
3/19/2022,10811.74949
3/20/2022,8084.511102
3/21/2022,5325.5108
3/22/2022,6871.499748
3/23/2022,9586.353672
3/24/2022,2102.944584
3/25/2022,5521.476742
3/26/2022,11396.18077
3/27/2022,10882.3748
3/28/2022,3518.925166
3/29/2022,9259.356944
3/30/2022,3553.153452
3/31/2022,6297.023253
4/1/2022,12377.70617
4/2/2022,3264.391464
4/3/2022,7518.44868
4/4/2022,3117.056629
4/5/2022,9252.593917
4/6/2022,9611.798205
4/7/2022,6672.265197
4/8/2022,7352.151063
4/9/2022,5362.5923
4/10/2022,9152.278058
4/11/2022,5987.614085
4/12/2022,5319.004196
4/13/2022,3404.025896
4/14/2022,2260.308718
4/15/2022,5915.940114
4/16/2022,2040.593086
4/17/2022,8161.673767
4/18/2022,2957.420013
4/19/2022,8872.428489
4/20/2022,5949.004634
4/21/2022,7465.414499
4/22/2022,6049.311849
4/23/2022,11977.98308
4/24/2022,8036.671026
4/25/2022,8399.972943
4/26/2022,5024.409914
4/27/2022,2952.98275
4/28/2022,4825.578623
4/29/2022,6188.836748
4/30/2022,4570.764547
5/1/2022,12725.81787
5/2/2022,5526.213588
5/3/2022,8919.672536
5/4/2022,3727.590072
5/5/2022,6341.613548
5/6/2022,5139.488036
5/7/2022,6696.606448
5/8/2022,11050.98489
5/9/2022,8980.349105
5/10/2022,6105.908728
5/11/2022,7841.282468
5/12/2022,8362.757856
5/13/2022,3190.366983
5/14/2022,10478.77949
5/15/2022,9577.841125
5/16/2022,4115.650394
5/17/2022,8950.6354
5/18/2022,4606.155378
5/19/2022,4963.203058
5/20/2022,8708.129357
5/21/2022,5126.207486
5/22/2022,12040.90532
5/23/2022,8472.768323
5/24/2022,7871.671412
5/25/2022,3351.707825
5/26/2022,9493.483292
5/27/2022,8069.195201
5/28/2022,9566.00481
5/29/2022,2976.177594
5/30/2022,9597.887131
5/31/2022,6007.432728
6/1/2022,14812.8285
6/2/2022,8659.824961
6/3/2022,6441.960863
6/4/2022,10607.2039
6/5/2022,4019.996127
6/6/2022,6412.215348
6/7/2022,6409.741662
6/8/2022,2590.224915
6/9/2022,6846.226924
6/10/2022,5025.706258
6/11/2022,4577.325975
6/12/2022,5226.285953
6/13/2022,4872.878282
6/14/2022,7086.99708
6/15/2022,7314.018332
6/16/2022,9237.543114
6/17/2022,5875.159255
6/18/2022,8430.496448
6/19/2022,3157.634404
6/20/2022,5909.200415
6/21/2022,9494.008835
6/22/2022,2942.270242
6/23/2022,4811.987391
6/24/2022,5922.744955
6/25/2022,9118.117143
6/26/2022,10487.17632
6/27/2022,2231.863204
6/28/2022,6342.378752
6/29/2022,7037.586502
6/30/2022,13423.79111
7/1/2022,4807.212707
7/2/2022,9750.423641
7/3/2022,4858.956271
7/4/2022,3942.612187
7/5/2022,3854.497129
7/6/2022,8750.983902
7/7/2022,5753.121252
7/8/2022,9785.103713
7/9/2022,3441.484447
7/10/2022,10329.48022
7/11/2022,1862.556539
7/12/2022,3208.113377
7/13/2022,3806.581976
7/14/2022,5670.680421
7/15/2022,8315.406865
7/16/2022,3074.44386
7/17/2022,11271.81962
7/18/2022,3266.590289
7/19/2022,8706.215985
7/20/2022,6174.093786
7/21/2022,2585.828858
